comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.01          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             1000        0           1           2             .000420      NA          .000065           .000550             .000769            .001250              4             281
0.01          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             10000       0           1           2             .000414      NA          .000293           .002610             .004408            .004583              7             194
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             100000      0           1           2             .000894      NA          .003038           .018173             .028664            .029583              50            262
0.01          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             1000000     0           1           2             .001940      NA          .022549           .226122             .285069            .286666              471           197
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             10          0           1           2             .000399      NA          .000030           .000207             .000270            .000833              3             295
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             100         0           1           2             .000395      NA          .000030           .000257             .000349            .000833              7             316
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             1000        0           1           2             .000373      NA          .000057           .000516             .000694            .001250              4             257
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             10000       0           1           2             .000431      NA          .000294           .002458             .004102            .004166              7             212
0.01          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             100000      0           1           2             .000574      NA          .002650           .020530             .027535            .028333              49            241
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             1000000     0           1           2             .002205      NA          .022547           .235388             .268170            .270000              477           210
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             10          0           1           2             .000589      NA          .000028           .000258             .000399            .001250              3             236
