comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  packetdrops(%)  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        256       174       1         1         5         10000     10000     1           1           1           3               0             .099956      .064442     .014946           .049887             .138910            .214583              314           248
0.01          3                  1                  0    4        256       174       1         1         5         10000     10000     1           1           1           4               0             .168874      .078652     .015497           .057591             .118864            .264166              324           208
0.02          3                  1                  0    4        256       174       1         1         5         10000     10000     1           1           1           5               0             .169264      .090624     .017388           .090569             .198223            .376250              312           159
0.01          3                  1                  0    4        256       174       1         1         5         10000     10000     1           1           1           6               0             .344407      .232815     .019617           .166184             .290929            .566250              314           114
0.02          3                  1                  0    4        256       274       1         0         5         10000     10000     1           0           1           1               0             .043764      NA          .020966           .031687             .071492            .088333              227           584
0.02          3                  1                  0    4        256       274       1         0         5         10000     10000     1           0           1           2               0             .042768      NA          .021243           .049509             .102959            .146250              226           359
0.03          3                  1                  0    4        256       274       1         0         5         10000     10000     1           0           1           3               0             .043452      NA          .022221           .067346             .136694            .137916              226           397
0.03          3                  1                  0    4        256       274       1         0         5         10000     10000     1           0           1           4               0             .127101      NA          .024723           .096535             .128496            .243750              240           249
0.02          3                  1                  0    4        256       274       1         0         5         10000     10000     1           0           1           5               0             .127085      NA          .028067           .191131             .400408            .425000              239           161
0.01          3                  1                  0    4        256       274       1         0         5         10000     10000     1           0           1           6               0             .127146      NA          .028838           .301007             1.048068           1.048750             234           67
0.01          3                  1                  0    4        256       274       1         0         5         10000     10000     1           1           1           1               0             .082525      .063158     .014656           .040453             .145464            .171666              320           313
0.01          3                  1                  0    4        256       274       1         0         5         10000     10000     1           1           1           2               0             .203761      .066714     .015369           .051873             .084097            .317083              340           174
0.02          3                  1                  0    4        256       274       1         0         5         10000     10000     1           1           1           3               0             .118495      .146849     .017061           .059738             .096770            .247500              320           240
0.02          3                  1                  0    4        256       274       1         0         5         10000     10000     1           1           1           4               0             .153526      .132311     .019185           .090389             .195196            .328333              340           196
0.02          3                  1                  0    4        256       274       1         0         5         10000     10000     1           1           1           5               0             .302144      .193342     .021248           .140673             .286903            .504166              320           138
0.02          3                  1                  0    4        256       274       1         0         5         10000     10000     1           1           1           6               0             .215235      .233590     .022516           .213378             .367806            .583333              320           126
0.02          3                  1                  0    4        256       274       1         1         5         10000     10000     1           0           1           1               0             .042679      NA          .019758           .028312             .050310            .071250              201           680
0.01          3                  1                  0    4        256       274       1         1         5         10000     10000     1           0           1           2               0             .126693      NA          .018950           .043884             .094555            .150416              203           310
0.01          3                  1                  0    4        256       274       1         1         5         10000     10000     1           0           1           3               0             .043152      NA          .020202           .056465             .121300            .122500              214           405
0.01          3                  1                  0    4        256       274       1         1         5         10000     10000     1           0           1           4               0             .043478      NA          .021674           .088698             .157999            .159166              203           334
0.01          3                  1                  0    4        256       274       1         1         5         10000     10000     1           0           1           5               0             .168381      NA          .023282           .108979             .222167            .266666              201           213
0.02          3                  1                  0    4        256       274       1         1         5         10000     10000     1           0           1           6               0             .084298      NA          .024822           .193789             .279216            .296666              212           204
0.02          3                  1                  0    4        256       274       1         1         5         10000     10000     1           1           1           1               0             .126157      .061622     .012664           .030820             .075192            .168333              316           280
0.01          3                  1                  0    4        256       274       1         1         5         10000     10000     1           1           1           2               0             .129369      .043499     .013772           .043361             .165187            .186666              315           266
0.02          3                  1                  0    4        256       274       1         1         5         10000     10000     1           1           1           3               0             .137064      .064065     .015012           .053473             .116891            .187083              321           284
0.03          3                  1                  0    4        256       274       1         1         5         10000     10000     1           1           1           4               0             .174259      .079216     .016391           .077541             .227763            .405000              319           139
0.01          3                  1                  0    4        256       274       1         1         5         10000     10000     1           1           1           5               0             .255017      .104516     .017406           .108797             .239310            .377083              314           156
0.02          3                  1                  0    4        256       274       1         1         5         10000     10000     1           1           1           6               0             .326088      .153895     .019658           .161012             .330824            .543750              321           118
